VAN_ID,Employer,Van_Type,Vehicle_Capacity,Industry,Industry_Type,O_MSA,O_Zip,D_MSA,D_Zip,Daily_Round_Trip_Mileage
1407,Barona Casino,2020 Nissan PATH - 7 Seats,7,"Arts, Entertainment, & Recreation",Non_Military,South Suburban,91911,East Suburban,92040,62
1416,Camp Pendleton,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92586,North County West,92055,92
1418,NASNI,2019 Dodge DURA - 7 Seats,7,Military,Military,North City,92126,Central,92135,48
1421,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,East County,91901,East County,91905,70
1460,US Border Patrol,2021 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,Central,92116,East County,91962,84
1489,ATK Space Systems,2021 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92505,North City,92121,180
1541,NAVWAR,2021 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92563,North City,92110,126
1549,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92596,North County West,92055,76
1554,VA Medical Center,2019 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,North City,92064,North City,92161,30
1575,VA Medical Center,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91915,North City,92161,64
1581,VA Medical Center,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,North County East,92027,North City,92161,64
1592,NAB,2019 Mercedes Benz - Sprinter - 8 Seats,8,Military,Military,Riverside County,92545,Central,92155,132
1594,NASNI,2021 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92563,Central,92135,144
1598,BAE Systems,2021 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92562,Central,92113,132
1614,US Border Patrol,2021 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,North City,92120,East County,91962,74
1621,MCAS Miramar,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92562,North City,92145,112
1627,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92021,East County,91962,58
1631,US Border Patrol,2019 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,Riverside County,92584,South Suburban,92154,146
1658,VA Medical Center,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,North County East,92026,North City,92161,70
1665,Genentech,2020 Buick ENCL - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92592,North County West,92056,84
1744,Camp Pendleton,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92591,North County West,92055,64
1750,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,North County East,92027,North City,92161,62
1753,ATK Space Systems,2022 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92530,North City,92121,142
1754,Camp Pendleton,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,92584,North County West,92055,68
1761,VA Medical Center,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92563,North City,92161,134
1774,Northrop Grumman (Miramar Rd),2021 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,San Bernardino County,92336,North City,92121,172
1817,Metropolitan Correctional Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,Central,92101,118
1819,VA Medical Center,2021 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92563,North City,92161,124
1836,NAB,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92584,Central,92135,160
1842,UCSD,2020 Ford TRANS - 9 Seats,9,Education Services & Academic Institutions,Non_Military,South Suburban,91911,North City,92093,42
1859,Camp Pendleton,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92562,North County West,92055,144
1862,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91915,North City,92161,52
1908,MCAS Miramar,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92562,North City,92145,138
1937,US Border Patrol,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,North City,92120,East County,91962,86
1952,NASNI,2021 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92584,Central,92135,154
1954,US Navy,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92563,Central,92106,138
1956,Naval Base San Diego,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92563,Central,92136,130
1968,UCSD,2018 Ford TRANS - 9 Seats,9,Education Services & Academic Institutions,Non_Military,South Suburban,91911,North City,92093,54
1978,Naval Base San Diego,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92563,Central,92136,130
1980,Camp Pendleton,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92592,North County West,92055,64
1982,Camp Pendleton,2020 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92592,North County West,92055,68
1986,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91911,North City,92161,65
2022,US Border Patrol,2021 Ford TRANS - 8 Seats,8,Government & Public Administration,Non_Military,East Suburban,91942,East County,91905,104
2040,US Border Patrol,2019 Ford TRANS - 9 Seats,9,Government & Public Administration,Non_Military,East Suburban,91942,East County,91962,82
2042,DEA,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92563,North County East,92083,76
2052,US Border Patrol,2021 Ford EXPE - 8 Seats,8,Government & Public Administration,Non_Military,East Suburban,92071,East County,91962,82
2063,Naval Base San Diego,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92592,Central,92136,164
2091,Metropolitan Correctional Center,2021 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92563,Central,92101,128
2104,NAB,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92591,Central,92155,146
2132,Nassco - General Dynamics,2022 Kia Sorento - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92571,Central,92113,168
2207,BAE Systems,2018 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92173,Central,92113,45
2216,US Border Patrol,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,South Suburban,92154,160
2222,Naval Base San Diego,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92591,Central,92136,126
2226,Naval Base San Diego,2021 Ford TRANS - 10 Seats,10,Military,Military,Riverside County,92583,Central,92136,128
2233,Scripps Clinic,2021 Chevrolet TRAV - 7 Seats,7,Health Care & Social Assistance,Non_Military,Riverside County,92532,North City,92128,87
2237,Naval Base San Diego,2022 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92596,Central,92136,144
2243,Palomar Health,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non_Military,Riverside County,92568,North County East,92029,70
2283,NASNI,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,92563,Central,92135,142
2301,MCAS Miramar,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92592,North City,92145,102
2314,Naval Base San Diego,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92563,Central,92136,156
2317,US Border Patrol,2021 Ford TRANS - 9 Seats,9,Government & Public Administration,Non_Military,East Suburban,91914,East County,91962,80
2321,MCRD,2021 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,92563,Central,92140,126
2322,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,South Suburban,91932,North County West,92055,126
2332,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East County,91901,East County,91962,54
2340,Palomar Health,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non_Military,Riverside County,92563,North County East,92029,68
2348,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91902,North City,92161,58
2354,Naval Medical Center,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92592,Central,92134,156
2386,VA Medical Center,2019 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92071,North City,92161,65
2392,Naval Base San Diego,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92592,Central,92136,120
2396,BAE Systems,2021 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92562,Central,92113,132
2397,Naval Base San Diego,2021 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92596,Central,92136,138
2404,GIA-Gemological Institute of America Inc,2020 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Orange County,92780,North County West,92008,108
2405,US Border Patrol,2021 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,Imperial County,92251,East County,91906,116
2408,US Navy,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92591,Central,92106,134
2419,MCAS Miramar,2018 Ford EXPE - 8 Seats,8,Military,Military,Riverside County,92562,North City,92145,102
2423,Metropolitan Correctional Center,2021 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92563,Central,92101,140
2424,Naval Base San Diego,2020 Buick ENCL - 7 Seats,7,Military,Military,North City,92128,Central,92136,70
2431,Naval Medical Center,2021 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92592,Central,92134,124
2433,NASNI,2019 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92592,Central,92135,126
2440,US Border Patrol,2021 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,Riverside County,92553,South Suburban,92173,152
2443,General Atomics,2020 Ford TRANS - 8 Seats,8,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92881,North City,92064,94
2445,Scripps Medical Foundation,2020 Dodge DURA - 7 Seats,7,Health Care & Social Assistance,Non_Military,East Suburban,91945,North City,92121,56
2464,Genentech,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,South Suburban,91910,North County West,92056,56
2472,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91941,North City,92161,46
2481,US Border Patrol,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92021,East County,91962,50
2483,Scripps Health,2019 Volkswagen ATLAS - 7 Seats,7,Health Care & Social Assistance,Non_Military,Central,92139,North City,92127,62
2485,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,92154,North City,92161,58
2491,Naval Base San Diego,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92563,Central,92136,122
2502,MA Engineers,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,South Suburban,91902,North City,92121,30
2513,US Border Patrol,2021 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,Imperial County,92251,East County,91905,102
2536,Naval Base El Centro,2021 Ford EXPL - 7 Seats,7,Military,Military,North City,92108,Imperial County,92243,208
2544,US Border Patrol,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Non_Military,East County,91901,East County,91962,74
2558,BAE Systems,2019 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,South Suburban,91932,Central,92113,22
2565,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92591,East Suburban,92071,142
2568,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92071,East County,91905,95
2584,NASNI,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92592,Central,92135,126
2587,Camp Pendleton,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,North City,92124,North County West,92055,142
2590,VA Medical Center,2020 Ford TRANS - 9 Seats,9,Government & Public Administration,Non_Military,South Suburban,91913,North City,92161,80
2592,BAE Systems,2018 Ford Explorer - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92173,Central,92113,47
2602,Camp Pendleton,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92563,North County West,92055,78
2608,Thermo Fisher Scientific,2021 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North County West,92008,66
2614,VA Medical Center,2020 Nissan ARMADA - 8 Seats,8,Government & Public Administration,Non_Military,Central,91950,North City,92161,42
2616,VA Medical Center,2022 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91911,North City,92161,52
2619,BAE Systems,2021 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92530,North City,92127,134
2623,Metropolitan Correctional Center,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92591,Central,92101,144
2624,VA Medical Center,2022 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,North City,92161,110
2625,HME,2022 Ford TRANS - 8 Seats,8,Manufacturing,Non_Military,Central,91950,North County West,92010,92
2626,East County Transitional Living,2020 Ford TRANS - 10 Seats,10,Food Services & Drinking Places,Non_Military,East Suburban,92021,Central,92101,40
2632,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,North City,92126,North County West,92010,62
2635,Thermo Fisher Scientific,2020 Buick ENCL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Central,91950,North County West,92008,76
2636,UCSD,2019 Volkswagen ATLAS - 7 Seats,7,Education Services & Academic Institutions,Non_Military,South Suburban,91911,North City,92093,58
2639,MCAS Miramar,2021 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92585,North City,92145,68
2643,Thermo FIsher Scientific,2019 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North City,92126,North County West,92008,52
3192,US Border Patrol,2020 Ford TRANS - 8 Seats,8,Government & Public Administration,Non_Military,Orange County,92651,North County West,92058,162
3195,VA Medical Center,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91945,North City,92161,44
3200,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92591,North County West,92055,78
3202,Thermo Fisher Scientific,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North City,92126,North County West,92008,54
3339,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,East Suburban,91942,North County West,92010,80
3358,US Border Patrol,2021 Ford TRANS - 11 Seats,11,Government & Public Administration,Non_Military,North County East,92027,East County,91962,202
3370,HME,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,North City,92126,North County West,92010,62
3375,HME,2020 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,East Suburban,91977,North County West,92010,90
3492,NASNI,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92595,Central,92135,150
3496,VA Medical Center,2022 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,North City,92161,122
3619,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,Central,92139,North City,92161,56
3734,Naval Base San Diego,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92591,Central,92136,124
3736,Camp Pendleton,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92563,North County West,92055,120
3737,MCAS Miramar,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92591,North City,92145,96
4062,Thermo Fisher Scientific,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,East Suburban,92021,North County West,92008,78
4063,US Border Patrol,2019 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,East Suburban,91941,East County,91962,106
4065,US Border Patrol,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,Imperial County,92243,East County,91905,111
4067,Naval Medical Center,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92591,Central,92134,124
4073,BAE Systems,2018 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92154,Central,92113,44
4077,Nassco - General Dynamics,2021 Ford TRANS - 10 Seats,10,Manufacturing,Non_Military,Imperial County,92243,Central,92113,225
4098,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,North City,92126,North County West,92010,60
4100,US Border Patrol,2022 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92591,South Suburban,92173,154
4103,NASNI,2022 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92590,Central,92135,134
4104,NASNI,2020 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,92584,Central,92135,162
4107,Genentech,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,Orange County,92694,North County West,92056,70
4111,Marines,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92591,North City,92123,122
4117,US Navy,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92592,Central,92106,156
4129,VA Medical Center,2020 Ford TRANS - 9 Seats,9,Government & Public Administration,Non_Military,Central,91950,North City,92161,52
4131,Camp Pendleton,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92562,North County West,92055,80
4133,US Border Patrol,2020 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91942,East County,91905,66
4137,BAE Systems,2021 Ford TRANS - 10 Seats,10,Manufacturing,Non_Military,Imperial County,92231,Central,92113,234
4158,Camp Pendleton,2019 Ford TRANS - 9 Seats,9,Military,Military,Riverside County,92571,North County West,92055,108
4160,NASNI,2020 Buick ENCL - 7 Seats,7,Military,Military,North County West,92056,Central,92135,94
4162,NASNI,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92596,Central,92135,144
4163,VA Medical Center,2019 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,Central,91950,North City,92161,42
4169,BAE Systems,2019 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92173,Central,92113,34
4174,VA Medical Center,2019 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91913,North City,92161,62
4175,US Border Patrol,2020 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,East Suburban,91942,East County,91905,104
4184,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East County,91901,East County,91905,104
4190,Naval Base San Diego,2021 Ford EXPE - 8 Seats,8,Military,Military,Riverside County,92562,Central,92136,130
4194,VA Medical Center,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92562,North City,92161,124
4198,NASNI,2020 Dodge DURA - 7 Seats,7,Military,Military,North County East,92028,Central,92135,100
4208,Metropolitan Correctional Center,2021 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92591,Central,92101,132
4217,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,North City,92131,North County West,92010,52
4218,Metropolitan Correctional Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,North County West,92057,Central,92101,88
4220,US Border Patrol,2022 Tesla Model Y - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,South Suburban,92173,150
4228,US Border Patrol,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,North County East,92029,East County,91962,136
4230,National Guard,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92530,North City,92111,144
4232,BAE Systems,2019 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,South Suburban,91911,Central,92113,22
4341,NASNI,2021 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92563,Central,92118,140
4349,US Border Patrol,2022 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92071,East County,91962,66
4354,U.S. Border Patrol - Pine Valley,2021 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91941,East County,91962,88
4362,HL Welding,2022 Ford TRANS - 8 Seats,8,Manufacturing,Non_Military,Imperial County,92251,Central,92101,236
4363,Naval Base San Diego,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92591,Central,92136,122
4365,Naval Base Point Loma,2020 Ford TRANS - 8 Seats,8,Military,Military,East Suburban,92019,Central,92106,142
4367,VA Medical Center,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92071,North City,92161,40
4368,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91942,East County,91962,84
4369,Naval Base San Diego,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92584,Central,92136,144
4370,BAE Systems,2020 Buick ENCL - 7 Seats,7,Manufacturing,Non_Military,South Suburban,91911,Central,92113,20
4373,VA Medical Center,2019 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,Central,91950,North City,92161,42
4381,Naval Base San Diego,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92592,Central,92136,122
4383,Naval Base San Diego,2020 Ford TRANS - 11 Seats,11,Military,Military,Riverside County,92595,Central,92136,140
4384,Naval Base San DIego,2019 Ford TRANS - 12 Seats,12,Military,Military,Riverside County,92584,Central,92136,150
4385,Naval Base San Diego,2022 Ford TRANS - 9 Seats,9,Military,Military,Riverside County,92584,Central,92136,156
